titel;beschreibung;postleitzahl;stadt;zeit
['Pferdebetreuung/Pflege alles was Pferde benötigen -'];['Rund ums Pferd'];48149;['Centrum'];09.08.2020 08:42
['Babywanne von Ikea'];['Babywanne zu verschenken. Weiß mit blauen antirutsch Gummi. Das Gummi hat ein paar kleine...'];48161;['Gievenbeck'];09.08.2020 08:10
['Ausziehbarer Tisch mit passender Eckbank'];['Zu verschenken ist ein ausziehbarer Tisch mit einer dazu passenden Eckbank aus Holz.', 'Gerne heute...'];48151;['Aaseestadt'];09.08.2020 07:08
['AEG Geschirrspüler Defekt umsonst abzugeben'];['Leider ist unser Geschirrspüler nach dem Urlaub defekt. Vermutlich die Pumpe zum abpumpen. Wir...'];48151;['Centrum'];09.08.2020 00:58
['RESERVIERT Nintendo Spiele zu verschenken!'];['Verschenke diese 4 Nintendo Spiele'];48161;['Nienberge'];09.08.2020 22:46
['Event 14.08.2020 in Münster  Eintritt kostenlos'];['Die 247er kommen in deine Stadt.', '', 'Nachdem es so viele Anfragen gab, ob wir ein offline Seminar...'];48165;['Hiltrup'];09.08.2020 22:16
['CD Dieter Nuhr - Nuhr weiter so - Comedy'];['Abzuholen in Münster nahe Gasometer.'];48155;['Centrum'];09.08.2020 21:38
['Defekte Spülmaschine von Bosch an Bastler'];['Etwas ältere Maschine ca 6 Jahre an Bastler zu verschenken !', '', 'Muss spätestens morgen abgeholt...'];48153;['Centrum'];09.08.2020 20:40
['Rollo/Plissee zu verschenken'];['Ich verschenke ein Plissee von Tukan.', '', 'Maße: ca. B 60 x H 130cm', 'Material: 100% Polyester', 'Montage:...'];48145;['Mauritz'];09.08.2020 20:09
['Drucker Canon Pixma iP 4500 DEFEKT'];['Verschenke defekten Drucker Canon Pixma iP 4500 an Bastler.', 'Funktioniert nicht, Fehlermeldung 6A00...'];48161;['Gievenbeck'];09.08.2020 18:19
['Schultasche'];['Grundschule Schultasche'];48157;['Handorf'];09.08.2020 17:49
['Laptopkissen'];['Ich verschenke ein Laptopkissen von IKEA in beige mit schwarzer Plastikauflage.', '', 'Abholung...'];48145;['Mauritz'];09.08.2020 17:42
['H&M Winterjacke'];['Ich verschenke eine Winterjacke von H&M in Größe 40/M. Sie ist schon ein paar Jahre alt aber...'];48145;['Mauritz'];09.08.2020 17:39
['Besteckkasten IKEA STÖDJA weiß'];['Besteckkasten IKEA STÖDJA in der Farbe weiß kostenlos abzugeben.', 'Sehr gut erhalten.', '', 'Nur Abholung.'];48161;['Gievenbeck'];09.08.2020 17:11
['BRILL Roto-Rapid 4TB46 Rasenmäher'];['Ich verschenke gegen Selbstabholung den Rasenmäher für Bastler.', 'Obwohl der Motor grundsätzlich noch...'];48157;['Gelmer'];09.08.2020 17:03
['Landlust Hefte'];['Ich verschenke 15 gut erhaltene Landlust Hefte.'];48159;['Centrum'];09.08.2020 17:01
['Altes Hollandrad Fahrrad 28 Zoll mit Kindersitz'];['Abzuholen in 48431 Rheine!', '', 'Gebraucht, staubig, kann man aber wieder aufbereiten. Mit Kindersitz...'];48161;['Gievenbeck'];09.08.2020 16:34
['Reserviert! - Küche mit Elektrogeräten zu verschenken'];['Aufgrund einer Haushaltsauflösung veschenken wir eine komplette Küche (siehe Bilder) mit...'];48147;['Centrum'];09.08.2020 16:18
['Schlafcouch / Schlafsofa von Ikea'];['Der Bezug des Sofas ist abnehmbar und waschbar.'];48167;['Gremmendorf'];09.08.2020 15:49
['Schwarze Ballerinas'];['Schwarze Ballerinas mit ein paar Macken aber noch tragbar.'];48159;['Kinderhaus'];09.08.2020 14:59
['2 Kartons Jungen Kleidung reserviert'];['Alles dabei. 56-62', '', 'Verschiedene Marken und Sachen.'];48165;['Hiltrup'];09.08.2020 14:36
['Einbauküche an Bastler abzugeben'];['Einbauküche an Bastler abzugeben! Herd ist mit dabei, alle anderern Elektronik Geräte nicht. Küche...'];48147;['Centrum'];09.08.2020 14:15
['Kaminholz (Fichte)'];['Kaminholz zu verschenken, bereits auf ca 0,5-1 Meter lange Stücke gesägt. Für Selbstabholer.'];48167;['Wolbeck'];09.08.2020 13:50
['Alte Eingangs- Tür Gartenhaus'];['Es handelt sich um eine richtig robuste Tür mit den Massen 92x199. Türanschlag links.'];48147;['Centrum'];09.08.2020 13:47
['Sofa an Selbstabholer zu verschenken'];['Hi. Da ich ein passendes Sofa gefunden habe, möchte ich mein vorheriges Sofa (eine Seite von einem...'];48151;['Centrum'];09.08.2020 13:46
['Eckschrank'];['Verschenke diesen eckschrank. Nicht den Ikea Schrank!!!! Höhe 2,30'];48151;['Geist'];09.08.2020 13:37
['Gips - Haftputz von Rotfuchs zu verschenken'];['Verschenke angebrochenen Sack „Gips - Haftputz“ von Rotfuchs.'];48157;['Handorf'];09.08.2020 13:18
['Wohnzimmerschrank Vitrine Eiche teilmassiv'];['2-teilig, Ober- und Unterteil trennbar', '', 'L×T×H: ca. 220 × 50 x 184(außen)/199(\u200bMitte)', '', 'Das...'];48163;['Amelsbüren'];09.08.2020 13:10
['Suchen Kleingarten'];['Suche in Raum Münster ein Garten am besten', 'Hiltrup', 'Gremmendorf', 'Amelsbüren', 'Usw.', 'Mutter Papa mit 3...'];48163;['Amelsbüren'];09.08.2020 12:54
['Schlafsofa *reserviert*'];['Verschenke mein 4-teiliges Schlafsofa aus Platzgründen.', '', '', 'Nur Selbstabholung'];48149;['Centrum'];09.08.2020 12:53
['Wickeltisch- aufsatz reserviert'];['Es handelt sich um so einen Aufsatz für die Badewanne, allerdings nur noch das Oberteil. Die...'];48163;['Mecklenbeck'];09.08.2020 11:13
['Musiker sucht Sängerin - Wohnort egal'];['Welche gut gelaunte Singsüchtige hat Bock auf Rock? Und das bequem von zuhause aus. Du in deinem...'];48143;['Centrum'];09.08.2020 10:30
['Reserviert Restmülltonne zu verschenken'];['Wir verschenken eine alte Restmülltonne. Sie wurde ursprünglich von uns zur Aufbewahrung der gelben...'];48155;['Mauritz'];09.08.2020 07:33
['Transportbox'];['Wenig benutzte Transportbox für Tiere. Es waren 2/3 mal zwei Kaninchen drin. Ansonsten...'];48167;['Gremmendorf'];07.08.2020   2020-08-09
['Kleidungspaket Größe 86/92 zu verschenken'];['Größe 86/92, keine Löcher oder ähnliches.'];48167;['Wolbeck'];07.08.2020   2020-08-09
['RESERVIERT J. Ikea Wandhaken Hund Hundeleine rot Hunde-Hinterteil'];['Aus Gummi/Kunststof\u200bf', 'Kontaktlos abzuholen in MS-RUMPHORST'];48147;['Centrum'];07.08.2020   2020-08-09
['Gardinenstange Ikea'];['Länge 115 bis ca. 210.'];48145;['Mauritz'];07.08.2020   2020-08-09
['Suche: (Engels-)Trompetenbaum Samen'];['Wir hatten früher immer Trompetenbäume zuhause und da ich nun selber den Platz habe, diese Pflanzen...'];48165;['Hiltrup'];06.08.2020   2020-08-09
['Alte funktionstüchtige Mirkowelle'];['Verschenke:', '- alte aber funktionstüchtige Mirkowelle', '', 'Vielleicht ist diese Anzeige ja interessant...'];48147;['Centrum'];05.08.2020   2020-08-09
['Bananenkisten - reserviert'];['Hallo!', 'Von unserem Umzug haben wir noch Bananenkisten abzugeben.', 'Sie müssten bei uns in Mecklenbeck...'];48163;['Geist'];04.08.2020   2020-08-09
['Doppelkopf  runde sucht weitere Mitspieler/innen'];['Nette Doppelkopfrunde sucht weitere Mitspielerinnen. Wir spielen jeden Montag von 18.00 Uhr bis...'];48143;['Centrum'];03.08.2020   2020-08-09
['Gartenplatten 50x 50cm zu verschenken! Abholung 15.08'];['Letzter Termin zwecks Abholung 15.08', '', '', 'Ca. 30-40 Gartenplatten 50 x 50 zu verschenken.', 'Die Platten...'];48149;['Centrum'];02.08.2020   2020-08-09
['Backofen + Kochfeld'];['Nur für Selbstabholer', 'Südviertel'];48147;['Centrum'];01.08.2020   2020-08-09
['Kunstlederjacke- NOCH ZU HABEN !!!'];['Firma: Figl', 'Nur paar mal angezogen', 'Sehr angenehm zu tragen', 'Bei Interesse melden'];48157;['Coerde'];01.08.2020   2020-08-09
['Lifetec Musikanlage'];['Funktioniert (zumindest das Kassettendeck haben wir getestet). Wurde jahrelang in der Gartenhütte...'];48165;['Hiltrup'];31.07.2020   2020-08-09
['Disney Figuren zu verschenken'];['Verkaufe diese zwei Disneyfiguren.Grösse\u200b: 6 cm. Tierfreier Nichtraucherhaushalt\u200b. Nur Abholung. Bei...'];48153;['Centrum'];30.07.2020   2020-08-09
['Graues Sofa'];['Gut erhaltenes graues Sofa. Nicht durchgesessen oder Ähnliches. Würden das Sofa gerne...'];48147;['Centrum'];11.08.2020 14:17
['Brother Laserdrucker'];['Ein Laserstrahldrucker zu verschenken.Beim Drucken entstehen Streifen.Kann bestimmt repariert...'];48143;['Centrum'];11.08.2020 14:11
['Schwarzer Spiegel'];['Noch original verpackt'];48147;['Centrum'];11.08.2020 13:57
['Zwei weiß IKEA Hängeleuten'];['Zwei weiß Ikea Hängeleuten in verschiedenen Größen zu verschenken.'];48147;['Centrum'];11.08.2020 13:56
['Firmen Event 14.08.2020 in Münster'];['Die 247er kommen in deine Stadt.', '', 'Nachdem es so viele Anfragen gab, ob wir ein offline Seminar...'];48143;['Centrum'];11.08.2020 13:52
['Event 14.08.2020 in Münster Eintritt Kostenlos'];['Die 247er kommen in deine Stadt.', '', 'Nachdem es so viele Anfragen gab, ob wir ein offline Seminar...'];48157;['Coerde'];11.08.2020 13:49
['Papyrus Ableger'];['Nach Anwurzelung im Wasserglas in Erde pflanzen und schön feucht halten. 2 Gläser stehen ab 13.30 h...'];48153;['Centrum'];11.08.2020 13:27
['Baby Lätzchen'];['Biete hier viele Baby Lätzchen zu verschenken an. Nur Abholung'];48151;['Centrum'];11.08.2020 13:25
['Kühlschrank Siemens Extraklasse zu verschenken.'];['Kühlschrank Siemens Extraklasse B/H/T 60/85/60 zu verschenken', 'Er ist noch...'];48145;['Centrum'];11.08.2020 13:09
['Hochwertiges Sofa'];['Die Polsterung ist in einem sehr guten Zustand. Man versinkt nicht und sitzt bequem.'];48165;['Hiltrup'];11.08.2020 13:01
['Holz Ratgeber'];['440 Seiten geballte wissen', '', 'Abholung nur in Münster Kinderhaus'];48159;['Kinderhaus'];11.08.2020 12:44
['Lebensmittel  zu Verschenken'];['Gläser mit Früchten zu Verschenken'];48157;['Handorf'];11.08.2020 12:42
['Verschenke portablen Miniheizkörper'];['s. Fotos', 'Einmal gebraucht, lange gelagert.', 'Mit Thermostat und Timer.', 'Nur Abholung.'];48147;['Wienburg'];11.08.2020 12:34
['Bett mit Matratze'];['Ein altes Bett mit 100cm breiten Matratze zu verschenken.'];48143;['Centrum'];11.08.2020 12:33
['5 Türblätter Buche zu verschenken - Türen'];['Hallo,', '', 'Wir verschenken unsere Türblätter', '', '2x 73x199', '3x 86x199', '', 'Die Türblätter sind in einem sehr...'];48159;['Kinderhaus'];11.08.2020 12:31
['Katzen Stiftehalter'];['Selbstgebaut. Nur Abholung.'];48163;['Mecklenbeck'];11.08.2020 12:09
['Parktisch Nachbildung mit Pintchenhalter'];['Selbstgebaut und zu verschenken. Nur Abholung.'];48163;['Mecklenbeck'];11.08.2020 12:08
['Pinolino Laufrad gratis zum Kauf dazu'];['Beim Kauf einer anderen Sache von uns gratis dazu', '', 'Sehr mitgenommen, aber bestimmt wieder in Schuss...'];48159;['Kinderhaus'];11.08.2020 11:51
['Couchtisch zu verschenken'];['Kleiner Ikea Couchtisch mit Gebrauchsspuren zu verschenken'];48147;['Centrum'];11.08.2020 11:39
['2er Sofa zu verschenken'];['Tolles 2er Sofa zu verschenken! 180x100'];48147;['Centrum'];11.08.2020 11:37
['2 Stehlampen zu verschenken'];['Zwei funktionstüchtige Stehlampen zu verschenken'];48147;['Centrum'];11.08.2020 11:35
['Handy Hülle Iphone 7'];['Ich verschenke ein leicht graue transparente Handyhülle für das iPhone 7.', '', 'Versand ist möglich:...'];48145;['Mauritz'];11.08.2020 11:20
['Haushaltsgegenstände Küche Aufbewahrung Dosen Kochen Essen'];['Hallo,', 'Ich verschenke wegen Haushaltsauflösung diverse Küchenutensilien, das meiste ist in einem...'];48165;['Hiltrup'];11.08.2020 11:09
['Pflastersteine  Sechseckig'];['Moin,', 'es handelt sich um ca 22m2 Pflastersteine.', 'An Selbstabholer zu verschenken.'];48155;['Gremmendorf'];11.08.2020 10:56
['Kleiderschrank Ikea Hemnes Vollholz weiß'];['Hallo,', '', 'angeboten wird dieser Vollholz-Kleiderschr\u200bank von Ikea (Hemnes) mit zwei Schiebetüren in...'];48143;['Centrum'];11.08.2020 10:54
['Kontaktlinsenflüssigkeit'];['Aus Versehen gekauft'];48143;['Centrum'];11.08.2020 10:44
['Reserviert 13 Bälle (Bällebad-Bälle) zu verschenken'];['Siehe Foto', 'Abholung bitte bis 16.8.2020. Danke', 'Mecklenbeck'];48163;['Mecklenbeck'];11.08.2020 10:26
['Ikea Tisch Lack weiß 90x55 cm'];['Ich verschenke einen weißen Couchtisch der Serie Lack von Ikea. Er hat ein paar Gebrauchspuren, wie...'];48149;['Sentrup'];11.08.2020 10:07
['Ikea Kopfteil mit Ausziehschublade'];['Ikea Kopfteil fürs Bett, dass ich nicht mehr brauche. Das Kopfteil hat eine große Macke auf der...'];48167;['Angelmodde'];11.08.2020 10:02
['Lebensbäume [abzuholen bis 13.8.]'];['Wir verschenken 5 große Lebensbäume, alle ca. 3 m hoch.', 'Müssen vom Abholer selbst ausgepflanzt...'];48159;['Kinderhaus'];11.08.2020 09:46
['Leere Ordner zu verschenken'];['Leere, gebrauchte Ordner, blau, schwarz und weitere zu verschenken in Telgte 48291'];48151;['Geist'];11.08.2020 09:45
['Thuja Zypresse 3m [abzuholen bis 13.8.]'];['Wir verschenken 2 Zypressen:', 'Die größte (3m hoch) und eine der kleineren.', '', 'Müssen vom Abholer...'];48159;['Kinderhaus'];11.08.2020 09:45
['Schlafsofa Schlafcouch blau'];['Ich verschenke dieses ältere blaue Schlafsofa aus Stoff. Habe ca ein halbes Jahr darauf geschlafen,...'];48159;['Centrum'];11.08.2020 09:37
['Die 247er kommen nach Münster'];['Bald ist es endlich soweit.', 'Nach so vielen Nachrichten, ob wir auch persönlich ein Event geben,...'];48155;['Centrum'];11.08.2020 09:37
['Brotbackautomart'];['Voll funktionsfähig'];48157;['Gelmer'];11.08.2020 09:00
['Babydream Windeln gr. 6'];['24 Stück insgesamt sind übrig geblieben.', 'Wird nicht mehr gebraucht.', 'Allerdings nicht mehr in OVP....'];48163;['Mecklenbeck'];11.08.2020 08:53
['Luftmatratze und Schlafsack zu verschenken'];['Der Schlafsack und die Luftmatratze sind gut erhalten und für Selbstabholer zu haben'];48167;['Wolbeck'];11.08.2020 08:35
['Schubladenelement'];['Rotes Schubladenelement, insgesamt hätten wir drei zu verschenken', 'Höhe 30cm, Breite 40cm, Tiefe...'];48151;['Centrum'];11.08.2020 08:34
['Handyhülle IPhone recyceltes Plastik'];['Passend für IPhone 7 und 8', '', 'Biocase, dunkelblau', '', 'Abholung in MS Centrum heute bis 10:00 Ujr'];48151;['Centrum'];11.08.2020 07:43
['Natur und Technik Lehrwerk zu verschenken'];['Abholung in MS-Gremmendorf oder Versand gegen Aufpreis.'];48167;['Gremmendorf'];11.08.2020 07:29
['Lehrwerk À toi à plus zu verschenken'];['Abholung in MS-GREMMENDORF oder Versand gegen Aufpreis. Bei Fragen zu Details einfach melden.'];48167;['Gremmendorf'];11.08.2020 07:29
['Winterreifen für Mercedes C-Klasse zu verschenken'];['4 Winterreifen auf Stahlfelge mit Radzierkappen nur an Selbstabholer zu verschenken.', 'Marke:...'];48167;['Gremmendorf'];11.08.2020 07:13
['Sandkasten mit Verdeck'];['Ist aus dem Frühjahr 2019.', 'Wie man sieht, ist eine Latte gebrochen, die man aber schnell und...'];48145;['Centrum'];11.08.2020 22:20
['Geburtstag Zahl 1'];['Bei Interesse einfach melden'];48149;['Centrum'];11.08.2020 22:12
['Barefoot Sattel-Pad-Einlagen'];['Ich gebe Sattel-Pad-Einlagen ab die ich bei dem kauf eines Barefoot Sattels erhalten habe. Diese...'];48159;['Centrum'];11.08.2020 22:00
['Schleich Ritter'];['Originaler Schleich Ritter, leider nicht mehr mit originaler Lanze.', 'Wer möchte ihn trotzdem...'];48167;['Angelmodde'];11.08.2020 21:46
['Massiver Holz Tisch mit Bänken'];['Massiver Holztisch (geht nur noch mit Decke, da der Tisch Spuren von der Witterung abbekommen hat)...'];48145;['Mauritz'];11.08.2020 21:29
['Holz zu verschenken'];['Holz zu verschenken. Abholung in 48282.'];48147;['Centrum'];11.08.2020 21:20
['Verschenke graues Schlafsofa'];['Ich verschenke ein Schlafsofa (1,40 × 2m). Die graue Matratze hat kleine Gebrauchsspuren. Ich habe...'];48151;['Aaseestadt'];11.08.2020 21:07
['H&M Shorts 158'];['Größe 158', '', 'Versand bei Aufpreis möglich. Es handelt sich um einen Privatkauf, daher ist keine...'];48149;['Centrum'];11.08.2020 20:04
['Schuhschrank aus Holz'];['Schuhschrank aus Holz in gutem Zustand'];48151;['Geist'];11.08.2020 19:41
['Schuhe zu verschenken'];['Adidas und h&m Schuhe abzugeben.'];48167;['Wolbeck'];11.08.2020 19:29
['Pferdebetreuung/Pflege Grosspferde/Ponys'];['Rund ums Pferd alles was Pferde benötigen'];48149;['Centrum'];11.08.2020 18:58
['Spielzeug   .'];['Viele spielzeug'];48167;['Angelmodde'];11.08.2020 18:52
['Kleines Schwarzes Ledersofa ZU VERSCHENKEN'];['Wegen Umzug verschenke ich ein kleines 2 Sitzer Ledersofa', 'Es hat eine kleine Macke (auf dem Bild),...'];48153;['Centrum'];11.08.2020 18:36
['Ledersofas (2 Stück) 2 1/2- Sitzer zu verschenken'];['2 Sofas, italienisches Echtleder, rot und cremeweiß, 2 1/2-Sitzer, ca. 180 cm breit, 100cm...'];48161;['Gievenbeck'];11.08.2020 18:10
['AD Design Zeitschriften zu verschenken'];['Ich verschenke 3 AD Design Zeitschriften (aus Italien und Spanien). Ausgaben März, Mai und Oktober...'];48165;['Angelmodde'];11.08.2020 17:59
['4 Ikea Tassen zu verschenken'];['Hallo!', '', 'Ich verschenke diese vier Tassen von Ikea- 2 blaue und 2 grüne. Alle haben leichte...'];48147;['Centrum'];11.08.2020 17:35
['Sehr bequemes Sofa in anthrazit'];['Hallo zusammem,', 'ich biete mein Sofa an, da morgen schon (11.08.2020) ein neues geliefert wird.', 'Die...'];48151;['Centrum'];11.08.2020 17:18
['Leichtathletik Hose'];['Größe 164 und super Zustand. Der Farbton der Hose ist auf dem Bild nicht so gut zu erkennen. So oll...'];48165;['Hiltrup'];11.08.2020 17:18
['Massive Gartenstühle aus Teakholz'];['Hallo, wir verschenken 3 stabile Gartenstühle für Bastler. Stühle sind intakt und aus Teakholz,...'];48159;['Centrum'];11.08.2020 16:54
['Schrott Stahlbadewanne'];['Badewanne, Duschwanne, Stahlzarge, etc.'];48159;['Centrum'];11.08.2020 16:29
['SUCHE Brustbeuteltasche'];['Suche Brustbeuteltasche für meinen Sohn.'];48151;['Aaseestadt'];11.08.2020 16:15
['Bananenkartons zu verschenken'];['10 Kartons abzugeben, 5 sofort, die anderen im Laufe der nächsten Tage.'];48161;['Gievenbeck'];11.08.2020 16:00
['Lattenrost mit Madratze an selbstabholer'];['Verschenke! ca. 5 Jahre alt, sieht ordentlich aus, zu schade für den Sperrmüll!, Bezug waschbar,...'];48147;['Centrum'];11.08.2020 15:42
['Gemütliches Ledersofa'];['Verkaufe ein super bequemes Designer Ledersofa! Es hat schon einige Jahre hinter sich, aber hat...'];48155;['Centrum'];11.08.2020 15:35
['Hocker blau'];['Verschenke einen Hocker.'];48163;['Roxel'];11.08.2020 15:04
['Wandregal  Weiß Sonoma'];['Verschenke ein Wandregal'];48163;['Roxel'];11.08.2020 15:03
['Laptop Tasche'];['Verschenke eine Laptop Tasche'];48163;['Albachten'];11.08.2020 14:58
['Weißes Doppelbett 1.40 x 2.00 m'];['Ich möchte dieses Weiße Doppelbett loswerden.', '(ohne Matratze)', 'Es ist in einem Guten Zustand, das...'];48147;['Centrum'];11.08.2020 14:38
['Alte Schallplatten zu Verschenken'];['Alte Schallplatten zu Verschenken! Schlager- Ballert- Weihnachten'];48157;['Handorf'];11.08.2020 14:08
['Ikea Kleiderstange'];['Ich verschenke eine Ikea Kleiderstange ohne Schrauben. Die Stange kann in der Länge verstellt...'];48147;['Centrum'];11.08.2020 14:05
['Badezimmer Armatur'];['Ich verschenke eine Badezimmer Armatur ohne Schrauben, habe sie im Keller gefunden.', 'Maße:', 'B:...'];48147;['Centrum'];11.08.2020 14:02
['Matratze inkl. Lattenrost'];['Gute, gebrauchte Matratze ohne Flecken, Löcher o.Ä. inkl. Lattenrost in der Größe 1m x 2m'];48163;['Hiltrup'];11.08.2020 13:14
['Kühlschrank Gefrierkombi Liebherr RESERVIERT'];['Hallo,', '', 'angeboten wird hier unser treuer WG-Kühlschrank mit Gefrierfach von Liebherr.', 'Er ist zwar...'];48143;['Centrum'];11.08.2020 12:59
['Bett (140cm) zu verschenken (reserviert)'];['140cm Bett inkl. Lattenrost und wahlweise auch Matratze zu verschenken. Gut erhalten.', 'Nur...'];48153;['Centrum'];11.08.2020 12:48
['Diverse Bücher und Dvd'];['Ich gebe einen Karton mit 22 Büchern und 4 DVD als Komplettpaket in gute Hände (Titel siehe Fotos)....'];48145;['Mauritz'];11.08.2020 12:47
['2 Ikea Stühle 1 Tisch 1 Roller zu verschenken'];['Alles zu verschenken', 'Abholung Schnell sonst kommst es in den Müll'];48155;['Gremmendorf'];11.08.2020 12:02
['Klavier zu verschenken'];['an Selbstabholer (EG), reserviert bis Mittwoch'];48167;['Gremmendorf'];11.08.2020 10:44
['Stühl  Stühle  Armlehnenstühle  9 Stück'];['9 Armlehnen Stühle zu verschenken.', 'Abzuholen in Angelmodde. Zwischen Wolbeck und...'];48167;['Wolbeck'];11.08.2020 10:27
['Schönes IKEA-Bild'];['72 x 32 cm'];48157;['Coerde'];11.08.2020 09:59
['Kühlschrank/Mikrowelle/kleiner Backofen/2erHerdplatten'];['*Kühlschrank mit Gefrierfach, älteres schätzchen läuft einwandfrei nur Licht ist defekt...'];48151;['Centrum'];11.08.2020 09:20
['Holz für Brennpeterarbeit'];['Hat jemand noch Holz übrig zum basteln, z.b. Brennpeterarbeiten?', 'Würde mich sehr darüber freuen.'];48161;['Nienberge'];11.08.2020 08:19
['Couchtisch Echtholz zu verschenken'];['Couchtisch echtholz Kirschbaum farbig', 'An einer Stelle Wasserfleck', 'Abzuholen Münster centrum', 'L 1,25...'];48147;['Centrum'];11.08.2020 07:27
['SilverCell 140x200cm Matratze'];['4 Jahre alt, Bezug waschbar'];48149;['Sentrup'];11.08.2020 00:23
['Ikea Stuhl'];['Tausche gegen Gemüse (nach Absprache)'];48153;['Centrum'];09.08.2020   2020-08-11
['0.90m Bett mit Lattenrost ( ohne Matratze)'];['Guter Zustand und bereits abgebaut'];48159;['Wienburg'];09.08.2020   2020-08-11
['Suche Ikea Kinderteller Kalas'];['Hallo, ich suche Ikea Kalas Kinderteller in den alten Farben. Da Ikea die Farben geändert hat...'];48163;['Mecklenbeck'];09.08.2020   2020-08-11
['Käse reibe'];['Ohne Mängel, tausche gegen Lebensmittel (nach Absprache)'];48153;['Centrum'];09.08.2020   2020-08-11
['French press Klein'];['Ohne Mängel, tausche gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['Nike Sneaker'];['Keine Löcher', 'Ich tausche die Schuhe gegen Gemüse meiner Wahl nach vorheriger Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['Ikea vase blau'];['Tausche gegen Lebensmittel (nach Absprache)'];48153;['Centrum'];09.08.2020   2020-08-11
['Kerzenständer von Butlers mit Wachsresten'];['Wachsreste, Silber', 'Tausche gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['Einen Schlafzimmer'];['Nur abholung ohne latenrost'];48159;['Centrum'];09.08.2020   2020-08-11
['Ikea Kissen inkl Bezüge abzugeben'];['Tausche Bezüge einzeln gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['2 grau anthrazit farbene Vorhängeschals'];['2x Vorhänge ohne Mängel abzugeben funktioniert für Schiene und Gardinenstange', '', 'Tausche gegen...'];48153;['Centrum'];09.08.2020   2020-08-11
['Ikea Blumentopf hängepflanze makramee style'];['Neu und unbenutzt', 'Tausche gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['Ikea Boxen geblümt 2x'];['Tausche gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['2x SMYCKA Eykalyptus Ikea'];['Neu mit Etikett', 'Tausche gegen Lebensmittel nach Absprache'];48153;['Centrum'];09.08.2020   2020-08-11
['Lavendelbild'];['Bild zu vergeben. Die Maße sind 30x40 cm. Stammt aus einem tierfreien, Nichtraucher Haushalt.'];48159;['Sprakel'];09.08.2020   2020-08-11
['Bewurzelte Ableger Geldbaum'];['Bewurzelte Ableger vom Geldbaum abzugeben, insgesamt drei Stück, geht auch einzeln. Sehr dankbare,...'];48155;['Centrum'];09.08.2020   2020-08-11
['Küche an Selbstabholer zu verschenken'];['An Selbstabholer zu verschenken: Vanillegelbe Küche mit Arbeitsplatte in Holzoptik (ohne Inhalt)....'];48165;['Hiltrup'];09.08.2020   2020-08-11
['AEG Trockner'];['Der Trockner hat schon einige Jahre auf dem Buckel. Wir haben das Gerät auch gebraucht übernommen....'];48147;['Centrum'];09.08.2020   2020-08-11
['Bücher auf Portugiesisch'];['Folgende Bücher sind zu verschenken:', '', '- Contos Portugueses Modernos/Modern\u200be portugiesische...'];48151;['Geist'];09.08.2020   2020-08-11
['Krimis/Thriller'];['Folgende Bücher sind zu verschenken:', '- Keine Angst (Frank Schätzing)(Kurzkrimi\u200bs)', '- Das Buch der...'];48151;['Geist'];09.08.2020   2020-08-11
['Grünes Bild'];['Grünes Bild zum Aufhängen, Holzrahmen', 'Nur Abholung! Abholung im Geistviertel, Montag, Mittwoch oder...'];48151;['Geist'];09.08.2020   2020-08-11
['(reserviert)Patrizier II und 2 andere Spiele Box'];['Enthält die drei abgebildeten Spiele zur Installation', 'Nur Abholung! Abholung im Geistviertel,...'];48151;['Geist'];09.08.2020   2020-08-11
['Verschiedene Romane'];['Folgende Bücher sind zu verschenken:', '- (RESERVIERT)Die Känguru-Apokryphen (Marc-Uwe Kling)', 'Die drei...'];48151;['Geist'];09.08.2020   2020-08-11
['Verschiedene Sachbücher'];['Folgende Bücher zu verschenken:', '- (RESERVIERT)Komisch alles chemisch! (Dr. Mai Thi Nguyen-Kim)', '-...'];48151;['Geist'];09.08.2020   2020-08-11
['Ikea Regalbrett'];['Ein zweites ist auch noch vorhanden da fehlt aber die Aufhängung. Nur Abholung, 100x26x5 cm.'];48165;['Hiltrup'];09.08.2020   2020-08-11
['Lila Hochflorteppich 60 × 110 cm'];['Toller Teppich, Hochflor. Pflegeleicht und flauschig.'];48147;['Wienburg'];09.08.2020   2020-08-11
['Zu verschenken: allerlei Gläser!'];['Frisch durchgespült. Abzuholen in der Jägerstraße im Südviertel.'];48153;['Centrum'];09.08.2020   2020-08-11
['Dip-Schale zu verschenken'];['Dip-Schale mit Tomatenmotiven zu verschenken.'];48165;['Hiltrup'];09.08.2020   2020-08-11
['2 Teppiche zu verschenken'];['2 Teppiche zu verschenken, etwas abgelaufen aber noch gut genug,', 'beide ca. 2m lang, der größere...'];48151;['Geist'];09.08.2020   2020-08-11
['Wilkinson Classic Rasierklingen zu verschenken'];['Vier Rasierklingen zu verschenken.', '', 'Abholung oder Versand (nach Absprache).', '', 'Kein PayPal....'];48155;['Centrum'];09.08.2020   2020-08-11
